project,region,supply_type,total_complex_units,public_sale_units,new_main_subscription_units,exclusive_area_sqm,price_basis,price_min_krw,price_max_krw,resale_restriction_years,residence_obligation_years,reaward_restriction_years,move_in,notice_date,official_source,canonical_source,base_date
인천계양 A6블록,인천 계양,공공분양,663,663,663,"59.71-84.99","LH 주택형별 평균분양가격",497930000,714334000,3,0,10,2029-06,2026-08-31,"https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000061174&uppAisTpCd=05","https://apttosell.com/housing-subscription-data/",2026-09-25
성남복정2 A1블록,경기 성남 수정구,신혼희망타운 공공분양,892,594,166,"55.97-56.94","입주자모집공고 기본형 주택가격",766370000,812140000,3,3,10,2030-05,2026-08-10,"https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000061125&uppAisTpCd=39","https://apttosell.com/housing-subscription-data/",2026-09-25
